"position"	"count"
1	12
2	17
3	19
4	20
5	20
6	27
7	62
8	67
9	67
10	67
11	74
12	74
13	77
14	77
15	77
16	78
17	119
18	119
19	190
20	190
21	201
22	201
23	202
24	202
25	204
26	367
27	379
28	385
29	394
30	410
31	418
32	437
33	443
34	448
35	449
36	466
37	531
38	537
39	542
40	544
41	548
42	553
43	565
44	572
45	579
46	579
47	691
48	694
49	697
50	713
51	724
52	725
53	740
54	742
55	785
56	788
57	781
58	787
59	805
60	814
61	829
62	830
63	836
64	835
65	839
66	885
67	913
68	919
69	918
70	925
71	937
72	942
73	1006
74	1004
75	1005
76	1004
77	1004
78	1028
79	1029
80	1029
81	1034
82	1027
83	1028
84	1030
85	1031
86	1058
87	1067
88	1091
89	1122
90	1123
91	1140
92	1140
93	1138
94	1164
95	1159
96	1197
97	1194
98	1186
99	1190
100	1211
101	1205
102	1215
103	1218
104	1223
105	1275
106	1282
107	1281
108	1288
109	1257
110	1260
111	1273
112	1315
113	1316
114	1306
115	1307
116	1310
117	1339
118	1339
119	1335
120	1336
121	1333
122	1338
123	1342
124	1360
125	1361
126	1356
127	1365
128	1366
129	1367
130	1367
131	1362
132	1363
133	1349
134	1362
135	1360
136	1360
137	1368
138	1366
139	1364
140	1364
141	1365
142	1369
143	1359
144	1333
145	1320
146	1315
147	1314
148	1313
149	1313
150	1311
151	1284
152	1275
153	1270
154	1269
155	1258
156	1256
157	1250
158	1250
159	1251
160	1248
161	1240
162	1238
163	1229
164	289
165	284
166	284
167	284
168	279
169	279
170	876
171	878
172	875
173	844
174	843
175	824
176	821
177	818
178	818
179	835
180	836
181	842
182	838
183	843
184	866
185	920
186	929
187	941
188	938
189	947
190	943
191	977
192	983
193	1009
194	1031
195	1032
196	1032
197	1043
198	1056
199	1070
200	1076
201	1091
202	1110
203	1133
204	1134
205	1136
206	1139
207	1142
208	1144
209	1225
210	1244
211	1307
212	1310
213	1314
214	1325
215	1327
216	1344
217	1346
218	1351
219	1349
220	1341
221	1378
222	1394
223	1395
224	1393
225	1393
226	1395
227	1395
228	1395
229	1395
230	1395
231	1395
232	1395
233	1393
234	1389
235	1381
236	1382
237	1383
238	1475
239	1464
240	1472
241	1472
242	1478
243	1476
244	1466
245	1440
246	1442
247	1440
248	1439
249	1439
250	1416
251	1411
252	1389
253	1385
254	1370
255	1370
256	1366
257	1367
258	1356
259	1352
260	1349
261	1335
262	1332
263	1334
264	1333
265	1336
266	1334
267	1334
268	1321
269	1317
270	1311
271	1313
272	1310
273	1250
274	1250
275	1235
276	1232
277	1234
278	1234
279	1231
280	1230
281	1222
282	1221
283	1211
284	1204
285	1197
286	1200
287	1199
288	1142
289	1112
290	1102
291	1092
292	1092
293	1082
294	1077
295	1099
296	1098
297	1097
298	1097
299	1095
300	1094
301	1099
302	1103
303	1079
304	1069
305	1083
306	1078
307	1097
308	1091
309	1090
310	1088
311	1084
312	1078
313	1076
314	1102
315	1108
316	1124
317	1145
318	1141
319	1134
320	1136
321	1129
322	1130
323	1130
324	1104
325	1094
326	1096
327	1068
328	1082
329	909
330	893
331	915
332	929
333	935
334	926
335	914
336	912
337	914
338	923
339	970
340	963
341	942
342	948
343	944
344	1041
345	1043
346	1058
347	1055
348	1008
349	1008
350	1007
351	1005
352	1011
353	1010
354	1014
355	1007
356	1007
357	1004
358	1012
359	1012
360	1011
361	1004
362	998
363	998
364	997
365	1001
366	1001
367	998
368	1004
369	998
370	1025
371	1026
372	1031
373	1029
374	1023
375	1028
376	1025
377	1024
378	1012
379	1003
380	1004
381	999
382	999
383	983
384	979
385	980
386	972
387	972
388	951
389	962
390	962
391	961
392	961
393	957
394	965
395	965
396	972
397	974
398	950
399	948
400	945
401	947
402	949
403	921
404	921
405	910
406	909
407	909
408	905
409	905
410	900
411	901
412	902
413	905
414	910
415	907
416	911
417	910
418	921
419	920
420	904
421	882
422	880
423	858
424	885
425	887
426	883
427	876
428	858
429	852
430	848
431	835
432	830
433	797
434	755
435	755
436	752
437	746
438	750
439	745
440	659
441	742
442	737
443	737
444	739
445	738
446	735
447	723
448	678
449	682
450	682
451	682
452	680
453	646
454	646
455	652
456	651
457	649
458	620
459	647
460	675
461	703
462	743
463	734
464	994
465	1016
466	1005
467	1006
468	1036
469	1284
470	1307
471	1322
472	1325
473	1304
474	1509
475	1607
476	1618
477	1623
478	1613
479	1684
480	1691
481	1755
482	1785
483	1767
484	1785
485	1806
486	1810
487	1821
488	1815
489	1844
490	1881
491	1939
492	1982
493	1978
494	2001
495	2002
496	2141
497	2230
498	2239
499	2270
500	2329
501	2361
502	2472
503	2480
504	2527
505	2555
506	2556
507	2557
508	2554
509	2607
510	2656
511	2662
512	2680
513	2674
514	2754
515	2741
516	2978
517	3001
518	2989
519	2986
520	2983
521	3020
522	3030
523	3062
524	3059
525	3001
526	3132
527	3144
528	3179
529	3179
530	3171
531	3185
532	3215
533	3229
534	3257
535	3195
536	3259
537	3328
538	3343
539	3362
540	3367
541	3339
542	3362
543	3364
544	3432
545	3418
546	3636
547	3737
548	3811
549	3826
550	3932
551	4186
552	4231
553	4252
554	4278
555	4256
556	4449
557	4438
558	4485
559	4481
560	4533
561	4569
562	4578
563	4649
564	4657
565	4740
566	4749
567	4851
568	4888
569	4904
570	4983
571	5011
572	5021
573	5111
574	5114
575	5128
576	5152
577	5156
578	5201
579	5230
580	5254
581	5358
582	5372
583	5633
584	5673
585	5725
586	5783
587	5798
588	5923
589	5928
590	5936
591	5951
592	5960
593	6000
594	6011
595	6019
596	6140
597	6231
598	6258
599	6259
600	6266
601	6263
602	6509
603	6548
604	6778
605	6798
606	6884
607	6904
608	6953
609	7231
610	7282
611	7302
612	7302
613	7350
614	7359
615	7312
616	7662
617	7684
618	7755
619	7764
620	7822
621	7841
622	7808
623	7855
624	7867
625	7952
626	8000
627	7999
628	7997
629	7995
630	8000
631	8000
632	7998
633	7997
634	7977
635	7999
636	7971
637	7999
638	7995
639	7982
640	7999
641	7998
642	7998
643	7992
644	7998
645	8000
646	8000
647	7999
648	7969
649	7995
650	7981
651	7996
652	7990
653	7984
654	7977
655	7983
656	8000
657	7991
658	7996
659	7877
660	7880
661	7858
662	7848
663	7872
664	7975
665	7998
666	7993
667	7960
668	7970
669	7975
670	7994
671	7996
672	7988
673	7937
674	7885
675	7974
676	7990
677	7997
678	7995
679	7963
680	7974
681	7983
682	7996
683	7995
684	7982
685	7997
686	7972
687	7978
688	7977
689	7993
690	7999
691	7981
692	7977
693	7962
694	7989
695	7992
696	7990
697	7992
698	7959
699	7998
700	7995
701	7999
702	7992
703	7970
704	7978
705	7999
706	8000
707	7996
708	7991
709	7987
710	7958
711	7940
712	7884
713	7905
714	7828
715	7869
716	7975
717	7968
718	7975
719	7978
720	7860
721	7933
722	7943
723	7955
724	7977
725	7802
726	7802
727	7807
728	7778
729	7783
730	7752
731	7761
732	7786
733	7808
734	7821
735	7830
736	7865
737	7924
738	7973
739	7989
740	7975
741	7915
742	7887
743	7993
744	8000
745	7966
746	7981
747	7866
748	7839
749	7881
750	7853
751	7908
752	7907
753	7925
754	7918
755	5505
756	7862
757	7988
758	7962
759	7987
760	7966
761	7919
762	7887
763	7861
764	7863
765	7849
766	7710
767	7705
768	7694
769	7752
770	7904
771	7921
772	7932
773	7911
